type,question,points,choiceA,choiceB,choiceC,choiceD,correct,matchMode
"mc","What is 15% of 240?","1","24","30","36","40","C",""
"mc","Simplify: (2^3)(2^4)","1","2^7","2^12","2^1","2^8","A",""
"mc","A triangle has angles 35° and 65°. What is the third angle?","1","80°","85°","90°","70°","A",""
"mc","What is the slope of the line through (2,3) and (6,11)?","1","1","2","3","4","B",""
"mc","Which is equivalent to 0.375?","1","3/5","3/8","5/8","7/8","B",""
"mc","If a = 4 and b = 9, what is sqrt(a+b)?","1","sqrt(13)","3","4","5","A",""
"mc","What is the median of 4, 9, 2, 7, 6?","1","6","5","7","4","A",""
"mc","Solve: |x - 5| = 3","1","x = 8 or x = 2","x = 3 or x = -3","x = 5 only","x = -8 or x = -2","A",""
"mc","Factor: x^2 - 9","1","(x-9)(x+1)","(x-3)(x+3)","(x-1)(x-9)","(x+9)(x+1)","B",""
"mc","What is the circumference of a circle with radius 7? (Use pi=22/7)","1","22","44","49","154","B",""
"mc","Which type of energy is stored in food?","1","Kinetic","Electrical","Chemical","Nuclear","C",""
"mc","Which blood cells help fight infection?","1","Red blood cells","Platelets","White blood cells","Plasma","C",""
"mc","What is the unit of force?","1","Joule","Newton","Watt","Pascal","B",""
"mc","What happens to particles when a substance is heated?","1","They stop moving","They move faster","They disappear","They become heavier","B",""
"mc","Which is a renewable resource?","1","Coal","Natural gas","Wind","Petroleum","C",""
"mc","What is the pH of a neutral substance?","1","0","5","7","14","C",""
"mc","Which part of the atom has a positive charge?","1","Electron","Proton","Neutron","Nucleus membrane","B",""
"mc","Which wave can travel through a vacuum?","1","Sound wave","Water wave","Light wave","Seismic wave","C",""
"mc","Which organelle is known as the “powerhouse of the cell”?","1","Nucleus","Mitochondrion","Ribosome","Lysosome","B",""
"mc","What is the chemical symbol for sodium?","1","Na","S","So","Sn","A",""
"mc","What is the main idea of a paragraph?","1","A supporting detail","The central point","A transition word","The title only","B",""
"mc","Which word is a conjunction?","1","quickly","because","teacher","under","B",""
"mc","Which is an example of a metaphor?","1","She is as brave as a lion.","The classroom was a zoo.","He ran quickly like wind.","The sun is bright.","B",""
"mc","Choose the correct pronoun: “Maria and ____ went to the library.”","1","me","I","mine","myself","B",""
"mc","What is the purpose of a conclusion paragraph?","1","Introduce topic","Summarize key points","Add unrelated details","Define vocabulary only","B",""
"mc","Which transition word shows contrast?","1","Therefore","Similarly","However","Furthermore","C",""
"mc","Choose the sentence with correct subject-verb agreement.","1","The students studies every night.","The students study every night.","The students studying every night.","The students has studied every night.","B",""
"mc","What is the synonym of “generous”?","1","Selfish","Kind","Narrow","Harsh","B",""
"mc","Identify the adverb: “She sang beautifully.”","1","She","sang","beautifully","none","C",""
"mc","Which sentence is in passive voice?","1","The chef cooked the meal.","The meal was cooked by the chef.","The chef is cooking the meal.","The chef cooks daily.","B",""
"true_false","A triangle has three sides.","1","True","False","","","True",""
"true_false","Plants make food through photosynthesis.","1","True","False","","","True",""
"true_false","Humans can breathe normally underwater without equipment.","1","True","False","","","False",""
"true_false","The Philippines is in Southeast Asia.","1","True","False","","","True",""
"true_false","Water boils at 100C at sea level.","1","True","False","","","True",""
"identification","What is the capital city of the Philippines?","1","","","","","Manila","exact"
"identification","How many sides does a hexagon have?","1","","","","","6","exact"
"identification","Name the process plants use to make their own food.","1","","","","","photosynthesis","exact"
"identification","What is the largest ocean on Earth?","1","","","","","Pacific Ocean","exact"
"identification","What is 12 multiplied by 8?","1","","","","","96","exact"
"essay","Write a well-organized response about one challenge students face in school and explain practical solutions. Use clear examples.","10","","","","","",""
