type,question,points,choiceA,choiceB,choiceC,choiceD,correct,matchMode
"mc","If the common ratio is 2 and first term is 3, what is the 4th term?","1","12","18","24","48","C",""
"mc","What is the value of i^2?","1","-1","0","1","2","A",""
"mc","A fair coin is tossed twice. Probability of exactly one head?","1","1/4","1/2","3/4","1","B",""
"mc","Solve: 2^(x+1)=16","1","2","3","4","5","B",""
"mc","What is the equation of a line with slope 3 passing through (0,-2)?","1","y=3x+2","y=3x-2","y=-3x-2","y=2x-3","B",""
"mc","Evaluate: (5!)/(3!)","1","10","20","30","60","B",""
"mc","If f(x)=2x^2-3x+1, what is f(3)?","1","8","10","12","14","B",""
"mc","Solve: log10(1000)","1","2","3","4","10","B",""
"mc","What is the vertex of y = (x-2)^2 + 5?","1","(2,5)","(-2,5)","(2,-5)","(5,2)","A",""
"mc","If sin(theta)=3/5 and theta is acute, cos(theta)=?","1","4/5","5/4","2/5","3/4","A",""
"mc","Which particle has no charge?","1","Electron","Proton","Neutron","Positron","C",""
"mc","What type of bond involves sharing electrons?","1","Ionic","Covalent","Metallic","Hydrogen","B",""
"mc","Which organ system transports nutrients and oxygen?","1","Respiratory","Digestive","Circulatory","Endocrine","C",""
"mc","What is the term for resistance to change in motion?","1","Velocity","Inertia","Momentum","Impulse","B",""
"mc","Which biomolecule stores genetic information?","1","Protein","DNA","Lipid","Carbohydrate","B",""
"mc","What is the SI unit of electric current?","1","Volt","Watt","Ampere","Ohm","C",""
"mc","Which law states that matter cannot be created nor destroyed?","1","Law of inertia","Law of conservation of mass","Law of acceleration","Law of gravitation","B",""
"mc","What is the pH range of acids?","1","Below 7","Exactly 7","Above 7","Above 14","A",""
"mc","Which process forms ATP in mitochondria?","1","Glycolysis","Electron transport chain","Photosystem II","Fermentation only","B",""
"mc","What is the acceleration due to gravity near Earth’s surface?","1","4.9 m/s^2","8.9 m/s^2","9.8 m/s^2","19.6 m/s^2","C",""
"mc","What is “audience awareness”?","1","Ignoring reader needs","Matching language and evidence to intended readers","Using only complex terms","Avoiding examples","B",""
"mc","What should a conclusion do?","1","Introduce a brand-new claim only","Reinforce thesis and synthesize insights","Repeat the title only","Add unrelated facts","B",""
"mc","Which thesis statement is strongest?","1","Pollution is bad.","Pollution has many effects.","Urban air pollution harms health, productivity, and school attendance, so cities need stricter emission controls.","People should care about pollution.","C",""
"mc","What is the purpose of a counterargument in persuasive writing?","1","To weaken your own claim","To show fairness and strengthen credibility","To replace your thesis","To avoid evidence","B",""
"mc","Which citation style commonly uses author-date in text?","1","MLA only","APA","Chicago Notes only","None","B",""
"mc","Choose the sentence with parallel structure.","1","She likes reading, to swim, and biking.","She likes reading, swimming, and biking.","She likes to read, swimming, and to bike.","She likes read, swim, and biking.","B",""
"mc","What does “tone” refer to in a text?","1","Plot sequence","Writer’s attitude toward subject/audience","Sentence length","Title format","B",""
"mc","Which is an example of an academic source?","1","Personal blog without references","Peer-reviewed journal article","Anonymous social media post","Entertainment magazine quiz","B",""
"mc","In argumentation, what is a “claim”?","1","A type of punctuation","The central position being defended","Any quotation","Background information only","B",""
"mc","Which revision improves clarity?","1","Use more vague words","Shorten and specify key terms","Remove transitions","Repeat every sentence","B",""
"true_false","DNA carries genetic information.","1","True","False","","","True",""
"true_false","All acids have a pH above 7.","1","True","False","","","False",""
"true_false","A valid argument can have true premises and a false conclusion.","1","True","False","","","False",""
"true_false","Plagiarism is acceptable if done unintentionally.","1","True","False","","","False",""
"true_false","Velocity is a vector quantity.","1","True","False","","","True",""
"identification","What is the document that summarizes revenues and expenses?","1","","","","","Income Statement","exact"
"identification","What is the ethical issue of using another person's work without credit?","1","","","","","plagiarism","exact"
"identification","Name the process by which cells divide to form two identical daughter cells.","1","","","","","mitosis","exact"
"identification","What gas is most abundant in Earth's atmosphere?","1","","","","","nitrogen","exact"
"identification","What is the SI unit of electric current?","1","","","","","ampere","exact"
"essay","Write an essay discussing how civic engagement and critical thinking can improve community decision-making and social responsibility.","10","","","","","",""
